score_diff,minutes_remaining,home_won
0,48.0,1
0,47.516666666666666,1
3,47.43333333333333,1
1,47.03333333333333,1
3,46.4,1
3,46.18333333333333,1
3,45.86666666666667,1
0,45.28333333333333,1
0,44.95,1
2,44.333333333333336,1
0,44.28333333333333,1
-1,44.11666666666667,1
-1,43.81666666666666,1
-1,43.733333333333334,1
1,43.166666666666664,1
-1,42.666666666666664,1
0,42.666666666666664,1
-1,42.483333333333334,1
-2,42.25,1
-2,42.25,1
-4,41.516666666666666,1
-4,41.516666666666666,1
-2,41.25,1
0,40.65,1
2,40.28333333333333,1
2,40.13333333333333,1
1,40.05,1
0,39.71666666666667,1
0,39.43333333333334,1
1,39.43333333333334,1
1,39.43333333333334,1
-1,39.0,1
-1,38.35,1
-1,38.166666666666664,1
-1,38.0,1
-1,37.38333333333333,1
-3,36.83,1
-3,36.781666666666666,1
-3,36.568333333333335,1
-3,36.153333333333336,1
-3,36.093333333333334,1
-3,36.093333333333334,1
-3,36.093333333333334,1
-3,36.001666666666665,1
-3,36.0,1
-3,36.0,1
-3,36.0,1
-3,35.666666666666664,1
-1,35.15,1
0,35.15,1
0,34.63333333333333,1
-4,33.86666666666667,1
-4,33.55,1
-5,33.233333333333334,1
-2,32.71666666666667,1
0,32.31666666666666,1
-1,32.18333333333334,1
-1,32.18333333333334,1
-1,32.18333333333334,1
-2,32.18333333333334,1
-2,31.7,1
1,30.983333333333334,1
-2,30.666666666666668,1
-3,30.583333333333332,1
-4,30.333333333333332,1
-4,30.2,1
-4,30.05,1
-4,29.833333333333332,1
-4,29.733333333333334,1
-4,29.733333333333334,1
-4,29.516666666666666,1
-4,29.25,1
-4,29.03333333333333,1
-4,28.78333333333333,1
-1,28.45,1
-1,28.083333333333332,1
-1,27.866666666666667,1
-1,27.45,1
-1,27.183333333333334,1
-1,27.03333333333333,1
-3,26.766666666666666,1
-3,26.583333333333336,1
-5,26.05,1
-5,25.9,1
-8,25.516666666666666,1
-8,25.516666666666666,1
-6,24.943333333333335,1
-8,24.321666666666665,1
